,Away,Home,is_B2B_First_Away,is_B2B_First_Home,is_B2B_Second_Away,is_B2B_Second_Home,Away_Prob_Naive,Home_Prob_Naive,Home_Prob_Adjusted,Away_Prob_Adjusted,Home_Odds,Away_Odds,Home_Prob_Odds,Away_Prob_Odds,Home_Prob_Diff,Away_Prob_Diff,Home_Bet_Size,Away_Bet_Size,Home_Bet,Away_Bet,Potential_Payoff,Date,Won_Bet,Capital
35,Golden State Warriors,Minnesota Timberwolves,0,0,0,1,0.6076228315976997,0.4826164837566856,0.4135144009358699,0.58648559906413,102.0,-120.0,0.4950495049504951,0.5454545454545454,-0.08153510401462505,0.04103105360958459,0.0,0.009026831794108604,0.0,723.7496425034019,603.1247020861682,2022-03-01,0,81107.42619882067
36,Dallas Mavericks,Los Angeles Lakers,0,0,0,0,0.5104281135171704,0.37378446031479856,0.4223234912460039,0.5776765087539961,180.0,-215.0,0.35714285714285715,0.6825396825396826,0.06518063410314673,-0.10486317378568644,0.01013920974937838,0.0,812.937429073282,0.0,1463.2873723319074,2022-03-01,0,80294.48876974738
37,Charlotte Hornets,Cleveland Cavaliers,0,0,0,0,0.5016347844052225,0.5255288223638246,0.6077217117970412,0.3922782882029589,-174.0,146.0,0.635036496350365,0.4065040650406504,-0.02731478455332381,-0.01422577683769155,0.0,0.0,0.0,0.0,0.0,2022-03-02,-1,80294.48876974738
38,Indiana Pacers,Orlando Magic,0,0,0,0,0.3183576518589021,0.2195670619808613,0.4360782939725825,0.5639217060274175,-102.0,-116.0,0.504950495049505,0.5370370370370371,-0.06887220107692249,0.026884668990380445,0.0,0.005807088501922185,0.0,466.27720250251997,401.9631056056206,2022-03-02,1,80696.451875353
39,New York Knicks,Philadelphia 76ers,0,0,0,0,0.32716393669813537,0.5755123260915129,0.8537908755632175,0.14620912443678247,-560.0,420.0,0.8484848484848484,0.19230769230769235,0.005306027078369136,-0.04609856787090988,0.003501977871723577,0.0,281.18952289301257,0.0,50.21241480232368,2022-03-02,1,80746.66429015533
40,Sacramento Kings,New Orleans Pelicans,1,0,0,0,0.3563397351974333,0.4016227892815204,0.6356757829710367,0.36432421702896334,-230.0,190.0,0.696969696969697,0.3448275862068966,-0.06129391399866035,0.019496630822066763,0.0,0.00297580154652598,0.0,238.94046385852718,453.98688133120163,2022-03-02,0,80507.7238262968
41,Utah Jazz,Houston Rockets,0,0,0,1,0.6651897142088097,0.173837985181153,0.10534308427790932,0.8946569157220907,730.0,-1150.0,0.12048192771084335,0.92,-0.015138843432934047,-0.02534308427790932,0.0,0.0,0.0,0.0,0.0,2022-03-02,-1,80507.7238262968
42,Miami Heat,Milwaukee Bucks,1,0,0,0,0.5539722769944517,0.5801905534166639,0.6109489979673638,0.3890510020326362,-196.0,164.0,0.6621621621621621,0.3787878787878787,-0.05121316419479826,0.010263123244757477,0.0,0.0016521125223268036,0.0,132.65553037032853,217.55506980733884,2022-03-02,0,80375.06829592648
43,Oklahoma City Thunder,Denver Nuggets,0,0,0,0,0.2038901464628911,0.604623071047677,0.9935973389175148,0.006402661082485217,-1200.0,750.0,0.923076923076923,0.1176470588235294,0.07052041584059178,-0.11124439774104418,0.0,0.0,0.0,0.0,0.0,2022-03-02,-1,80375.06829592648
44,Portland Trailblazers,Phoenix Suns,0,0,0,0,0.1955209640547141,0.6265887572607397,1.0132435381128262,-0.013243538112826192,-950.0,640.0,0.9047619047619048,0.13513513513513514,0.10848163335092142,-0.14837867324796133,0.0,0.0,0.0,0.0,0.0,2022-03-02,-1,80375.06829592648
45,Chicago Bulls,Atlanta Hawks,1,1,0,0,0.4646525093327912,0.4534596376955592,0.5669302656036119,0.4330697343963881,-112.0,-104.0,0.5283018867924528,0.5098039215686274,0.0386283788111591,-0.07673418717223934,0.008189216307965732,0.0,658.2088200428607,0.0,587.6864464668397,2022-03-03,1,80962.75474239331
46,Memphis Grizzlies,Boston Celtics,0,0,0,0,0.6228662512917518,0.6149763394456023,0.5702995610355501,0.42970043896444987,-130.0,110.0,0.5652173913043478,0.4761904761904761,0.005082169731202346,-0.04649003722602624,0.0011688990381765328,0.0,93.9503400244816,0.0,72.26949232652431,2022-03-03,1,81035.02423471985
47,Miami Heat,Brooklyn Nets,0,0,1,0,0.5551218888690981,0.30842081372242125,0.33175477030596146,0.6682452296940385,118.0,-138.0,0.4587155963302753,0.5798319327731093,-0.1269608260243138,0.08841329692092925,0.0,0.021042364667181176,0.0,1691.281497232477,1225.5663023423751,2022-03-03,1,82260.59053706222
48,Detroit Pistons,Toronto Raptors,1,1,0,0,0.2286924753797481,0.5294993166958067,0.9181117788195416,0.08188822118045846,-375.0,300.0,0.7894736842105263,0.25,0.1286380946090152,-0.16811177881954156,0.06110309493928224,0.0,4911.165428837288,0.0,1309.6441143566099,2022-03-03,0,77349.42510822494
49,Golden State Warriors,Dallas Mavericks,0,0,0,0,0.609402088118608,0.5243825547263599,0.4803136873517557,0.5196863126482443,-130.0,110.0,0.5652173913043478,0.4761904761904761,-0.08490370395259206,0.04349583645776817,0.0,0.008303750596482997,0.0,667.4145213046611,734.1559734351273,2022-03-03,0,76682.01058692027
50,Sacramento Kings,San Antonio Spurs,0,0,1,0,0.3417991123442988,0.4546892086201982,0.7764403814204229,0.22355961857957707,-295.0,240.0,0.7468354430379747,0.29411764705882354,0.02960493838244826,-0.07055802847924647,0.01169395066106705,0.0,939.9020830324588,0.0,318.61087560422334,2022-03-03,0,75742.10850388782
51,Los Angeles Lakers,Los Angeles Clippers,0,0,0,0,0.3920029115257334,0.3917534910782703,0.5796964792783,0.4203035207217,-136.0,118.0,0.576271186440678,0.4587155963302753,0.0034252928376220515,-0.038412075608575284,0.0008083691096788153,0.0,64.97272239875205,0.0,47.774060587317685,2022-03-03,1,75789.88256447513
52,Indiana Pacers,Detroit Pistons,0,0,0,1,0.32200149115140586,0.21897497427527352,0.4083229296499662,0.5916770703500338,130.0,-154.0,0.43478260869565216,0.6062992125984252,-0.02645967904568597,-0.014622142248391425,0.0,0.0,0.0,0.0,0.0,2022-03-04,-1,75789.88256447513
53,Cleveland Cavaliers,Philadelphia 76ers,0,1,0,0,0.5591641688721152,0.5830114428857729,0.6082171701482918,0.3917828298517082,-300.0,245.0,0.75,0.2898550724637681,-0.1417828298517082,0.10192775738794008,0.0,0.0143530923668732,0.0,1087.8191849223842,2665.157003059841,2022-03-04,0,74702.06337955275
54,Atlanta Hawks,Washington Wizards,0,0,1,0,0.4783989818322938,0.2572452146623567,0.3453762700281666,0.6546237299718334,152.0,-180.0,0.3968253968253969,0.6428571428571429,-0.05144912679723024,0.011766587114690473,0.0,0.003294644392113346,0.0,249.70071156997705,138.72261753887614,2022-03-04,1,74840.78599709162
55,Milwaukee Bucks,Chicago Bulls,0,0,0,1,0.582043738099901,0.4653165741401165,0.4230451491630939,0.576954850836906,162.0,-194.0,0.3816793893129771,0.6598639455782311,0.04136575985011681,-0.08290909474132513,0.006690017951068284,0.0,507.035674865696,0.0,821.3977932824272,2022-03-04,0,74333.75032222594
