,Player,VORP_projection
413,rudy gobert,[3.87328905]
414,hassan whiteside,[1.17671681]
415,udoka azubuike,[0.44907033]
416,spencer dinwiddie,[0.96270314]
417,raul neto,[1.09111134]
418,aaron holiday,[0.44907033]
419,bradley beal,[1.77595508]
420,deni avdija,[1.39073048]
421,kentavious caldwell-pope,[0.62028127]
422,rui hachimura,[-0.23577341]
423,anthony gill,[0.14945119]
424,kyle kuzma,[-0.02175974]
425,corey kispert,[0.19225393]
426,davis bertans,[0.663084]
427,montrezl harrell,[1.86156055]
428,daniel gafford,[1.26232228]
429,thomas bryant,[-0.02175974]
