,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP_Prior_Year
369,Michael Porter Jr.,22,69.47222222222221,2177.5555555555557,20.6,0.6629999999999999,0.46799999999999997,0.16399999999999998,5.4,20.9,13.2,5.6,1.0,2.8,8.1,21.7,5.466666666666666,2.3916666666666666,7.858333333333333,0.17300000000000001,4.555555555555555,-1.025,3.5305555555555554,2.8472222222222223
370,Mikal Bridges,24,82.0,2674.111111111111,16.4,0.667,0.47100000000000003,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,6.15,2.9611111111111112,9.11111111111111,0.16399999999999998,2.733333333333333,1.025,3.758333333333333,3.5305555555555554
371,Mike Conley,33,58.08333333333333,1706.0555555555554,19.2,0.589,0.523,0.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,4.555555555555555,2.3916666666666666,6.947222222222221,0.19699999999999998,4.1,1.4805555555555556,5.580555555555556,2.9611111111111112
372,Mike James,30,14.805555555555555,268.77777777777777,11.9,0.48100000000000004,0.337,0.293,1.5,12.9,7.5,30.6,1.2,0.4,16.1,22.9,0.0,0.11388888888888889,0.11388888888888889,0.027999999999999997,-2.3916666666666666,-2.619444444444444,-5.011111111111111,-0.11388888888888889
373,Mike Muscala,29,39.86111111111111,734.5833333333333,14.7,0.599,0.6890000000000001,0.135,3.0,18.4,10.6,7.0,0.6,1.5,6.9,20.0,1.025,0.45555555555555555,1.4805555555555556,0.096,1.025,-1.1388888888888888,-0.11388888888888889,0.3416666666666666
374,Mike Scott,32,58.08333333333333,970.3333333333333,6.8,0.49200000000000005,0.735,0.057,1.4,13.8,7.8,6.1,1.4,1.5,8.1,11.9,-0.11388888888888889,1.2527777777777778,1.1388888888888888,0.057999999999999996,-3.6444444444444444,0.3416666666666666,-3.1888888888888887,-0.22777777777777777
375,Miles Bridges,22,75.16666666666666,2200.333333333333,14.7,0.625,0.466,0.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,2.733333333333333,2.1638888888888888,4.783333333333333,0.105,0.22777777777777777,0.11388888888888889,0.22777777777777777,1.2527777777777778
376,Mitchell Robinson,22,35.30555555555556,971.4722222222222,17.7,0.642,0.0,0.301,14.5,17.5,16.0,2.9,2.1,5.0,11.5,11.8,2.05,1.936111111111111,3.872222222222222,0.192,-0.3416666666666666,1.7083333333333333,1.3666666666666665,0.7972222222222222
377,Miye Oni,23,61.5,591.0833333333333,6.4,0.517,0.889,0.061,4.9,11.9,8.6,6.8,1.0,1.2,13.6,9.8,0.22777777777777777,0.7972222222222222,1.025,0.081,-3.4166666666666665,1.4805555555555556,-1.936111111111111,0.0
378,Mo Bamba,22,52.388888888888886,825.6944444444445,19.3,0.556,0.392,0.21899999999999997,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,0.7972222222222222,1.2527777777777778,2.05,0.11699999999999999,0.22777777777777777,0.0,0.11388888888888889,0.45555555555555555
379,Monte Morris,25,53.52777777777778,1362.111111111111,14.0,0.574,0.34600000000000003,0.18899999999999997,1.0,8.0,4.6,17.1,1.4,1.1,7.5,16.5,2.2777777777777777,0.9111111111111111,3.3027777777777776,0.115,0.11388888888888889,-0.5694444444444444,-0.3416666666666666,0.5694444444444444
380,Montrezl Harrell,27,78.58333333333333,1799.4444444444443,22.7,0.65,0.017,0.425,11.3,19.1,15.2,7.7,1.4,2.8,9.4,21.7,5.125,3.075,8.313888888888888,0.221,2.619444444444444,0.7972222222222222,3.4166666666666665,2.2777777777777777
381,Moritz Wagner,23,102.5,1644.5555555555554,9.6,0.53175,0.408,0.326,4.225,20.025,12.024999999999999,10.024999999999999,1.2750000000000001,2.1,18.775000000000002,17.875,1.1388888888888888,1.8222222222222222,2.733333333333333,0.03325,-19.474999999999998,0.0,-19.36111111111111,-0.11388888888888889
382,Moses Brown,21,48.97222222222222,1047.7777777777778,18.8,0.5720000000000001,0.0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.4805555555555556,1.4805555555555556,2.9611111111111112,0.138,-1.4805555555555556,-1.3666666666666665,-2.733333333333333,-0.11388888888888889
383,Mychal Mulder,26,68.33333333333333,872.3888888888888,10.8,0.613,0.8079999999999999,0.083,1.1,7.1,4.2,4.8,0.7,1.4,5.5,16.2,0.6833333333333332,0.6833333333333332,1.3666666666666665,0.075,-0.6833333333333332,-1.3666666666666665,-2.05,0.0
